M_ID,AMPHOE_T,AMPHOE_E,CH_ID,,,,
8008,อ. ท่าศาลา,Tha Sala,80,,,,
4618,อ. ฆ้องชัย,Khong Chai,46,,,,
7604,อ. ชะอำ,Cha-am,76,,,,
6010,อ. พยุหะคีรี,Phayuha Hkiri,60,,,,
5709,อ. แม่สาย,Mae Sai,57,,,,
5023,อ. แม่ออน,Mae On,50,,,,
7703,อ. ทับสะแก,Thap Sakae,77,,,,
3701,อ. เมืองอำนาจเจริญ,Mueang Amnat Charoen,37,,,,
3906,อ. นาวัง,Na Wang,39,,,,
3316,อ. วังหิน,Wang Hin,33,,,,
8007,อ. ชะอวด,Cha-uat,80,,,,
6004,อ. หนองบัว,Nong Bua,60,,,,
4807,อ. นาแก,Na Kae,48,,,,
5017,อ. ดอยเต่า,Doi Tao,50,,,,
9406,อ. ทุ่งยางแดง,Thung Yang Daeng,94,,,,
2406,อ. พนมสารคาม,Phanom Sarakham,24,,,,
8020,อ. พระพรหม,Phra Phrom,80,,,,
4507,อ. โพนทอง,Phon Thong,45,,,,
4106,อ. หนองหาน,Nong Saeng,41,,,,
3506,อ. มหาชนะชัย,Maha Chana Chai,35,,,,
3707,อ. ลืออำนาจ,Lue Amnat,37,,,,
4302,อ. ท่าบ่อ,Tha Bo,43,,,,
4406,อ. บรบือ,Borabue,44,,,,
3603,อ. คอนสวรรค์,Khon Sawan,36,,,,
4021,อ. ซำสูง,Sam Sung,40,,,,
7205,อ. ศรีประจันต์,Si Prachan,72,,,,
9309,อ. บางแก้ว,Bang Kaeo,93,,,,
4607,อ. ยางตลาด,Yang Talat,46,,,,
4107,อ. ทุ่งฝน,Thung Fon,41,,,,
3205,อ. ปราสาท,Prasat,32,,,,
4120,อ. สร้างคอม,Sang Khom,41,,,,
3905,อ. สุวรรณคูหา,Suwannakhuha,39,,,,
3802,อ. พรเจริญ,Phon Charoen,38,,,,
1302,อ. คลองหลวง,khlong Luang,13,,,,
4409,อ. วาปีปทุม,Wapi Pathum,44,,,,
9612,อ. จะแนะ,Chanae,96,,,,
1306,อ. ลำลูกกา,Lam Luk Ka,13,,,,
1106,อ. บางเสาธง,Bang Sao Thong,11,,,,
3217,อ. โนนนารายณ์,Non Narai,32,,,,
1027,เขต บึงกุ่ม,Bung Kum,10,,,,
4601,อ. เมืองกาฬสินธุ์,Mueang Kalasin,46,,,,
1205,อ. ไทรน้อย,Sai Noi,12,,,,
3118,อ. ชำนิ,Chamni,31,,,,
9611,อ. สุไหงปาดี,Su-ngai Padi,96,,,,
9012,อ. นาหม่อม,Na Mom,90,,,,
1802,อ. มโนรมย์,Manorom,18,,,,
3302,อ. ยางชุมน้อย,Yang Chum Noi,33,,,,
3402,อ. ศรีเมืองใหม่,Si Mueang Mai,34,,,,
5303,อ. ท่าปลา,Tha Pla,53,,,,
4519,อ. หนองฮี,Nong Hi,45,,,,
1034,เขต สวนหลวง,Suan Luang,10,,,,
4407,อ. นาเชือก,Na Chueak,44,,,,
3022,อ. หนองบุญมาก,Nong Bunmak,30,,,,
3012,อ. บัวใหญ่,Bua Yai,30,,,,
3032,อ. เฉลิมพระเกียรติ,Chaloem Phra Kiet,30,,,,
3425,อ. สิรินธร,Sirindhorn,34,,,,
6506,อ. พรหมพิราม,Phrom Phiram,65,,,,
4003,อ. พระยืน,Phra Yuen,40,,,,
3318,อ. เมืองจันทร์,Mueang Chan,33,,,,
8408,อ. คีรีรัฐนิคม,Khiri Rat Nikhom,84,,,,
1010,เขต มีนบุรี,Min Buri,10,,,,
1103,อ. บางพลี,Bang Phli,11,,,,
3007,อ. โชคชัย,Chok Chai,30,,,,
4616,อ. นาคู,Na Khu,46,,,,
5716,อ. แม่ลาว,Mae Lao,57,,,,
4009,อ. กระนวน,Kranuan,40,,,,
8413,อ. บ้านนาเดิม,Ban Na Doem,84,,,,
4613,อ. สมเด็จ,Somdet,46,,,,
3320,อ. พยุห์,Phayu,33,,,,
